Mark,Models
LEXUS,"['CT', 'ES', 'GS', 'GS_F', 'GX', 'HS', 'IS', 'IS_F', 'LC', 'LFA', 'LS', 'LX', 'NX', 'RC', 'RC_F', 'RX', 'SC', 'UX']"
LIEBAO,['LEOPARD']
LIFAN,"['BREEZ', 'CEBRIUM', 'CELLIYA', 'MURMAN', 'MYWAY', 'SMILY', 'SOLANO', 'X50', 'X60', 'X70']"
LIGIER,['JS_51']
LINCOLN,"['AVIATOR', 'BLACKWOOD', 'CAPRI', 'CONTINENTAL', 'CORSAIR', 'LS', 'MARK_III', 'MARK_IV', 'MARK_LT', 'MARK_VII', 'MARK_VIII', 'MKC', 'MKS', 'MKT', 'MKX', 'MKZ', 'NAUTILUS', 'NAVIGATOR', 'PREMIERE', 'TOWN_CAR']"
LOGEM,['EC30']
LOTUS,"['340R', 'ECLAT', 'ELAN', 'ELISE', 'ELITE', 'ESPRIT', 'EUROPA', 'EUROPA_S', 'EVORA', 'EXCEL', 'EXIGE']"
LTI,['TX']
LUCID,['AIR']
LUXGEN,"['LUXGEN5', '7_MPV', '7_SUV', 'U6_TURBO', 'U7_TURBO']"
MAHINDRA,"['ARMADA', 'BOLERO', 'CJ_3', 'CL', 'COMMANDER', 'MARSHAL', 'MM', 'NC_640_DP', 'SCORPIO', 'VERITO', 'VOYAGER', 'XYLO']"
MARCOS,"['GTS', 'LM400', 'LM500', 'MANTIS_GT', 'MARCASITE']"
MARLIN,"['5EXI', 'SPORTSTER']"
MARUSSIA,"['B1', 'B2']"
MARUTI,"['1000', '800', 'ALTO', 'BALENO', 'ESTEEM', 'GYPSY', 'OMNI', 'VERSA', 'WAGON_R', 'ZEN']"
MASERATI,"['228', '3200GT', '420', '4200_GT', 'BARCHETTA_STRADALE', 'BITURBO', 'BORA', 'CHUBASCO', 'GHIBLI', 'GRAN_TURISMO', 'INDY', 'KARIF', 'KHAMSIN', 'KYALAMI', 'LEVANTE', 'MC12', 'MERAK', 'MEXICO', 'QUATTROPORTE', 'ROYALE', 'SHAMAL']"
MAYBACH,"['57', '62', 'EXELERO']"
